mfl_code,facility_name,keph_level,facility_type,sub_county,ward,owner_type,beds,latitude,longitude,coord_source,assessed
25679,Muyu Wa Kae,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,,,,no
25626,Mbudzi Community Health Centre,Level 2,Dispensary,Ganze,Jaribuni,Ministry of Health,0,,,,no
25369,Kavunyalalo Paziani Dispensary,Level 2,Dispensary,Malindi,Kakuyuni,Ministry of Health,0,,,,no
25238,Migodomani Dispensary,Level 2,Dispensary,Ganze,Ganze,Ministry of Health,0,,,,no
25168,Kaembeni Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,0,,,,no
24889,Ndigiria Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,0,,,,no
24363,Marikano Dispensary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,,,,no
24209,Kaloleni GK Prison Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,0,,,,no
24138,Tunzanani dispensary,Level 2,Dispensary,Kilifi South,Mtepeni,Ministry of Health,0,,,,no
24137,Mtwapa dispensary-Shimo la Tewa,Level 2,Dispensary,Kilifi South,Shimo La Tewa,Ministry of Health,0,,,,no
24136,Mwembe kati dispensary,Level 2,Dispensary,Kilifi South,Mwarakaya,Ministry of Health,0,,,,no
24134,Kwajuaje Dispensary,Level 2,Dispensary,Rabai,Mwawesa,Ministry of Health,1,,,,no
24133,Chiferi dispensary,Level 2,Dispensary,Rabai,Mwawesa,Ministry of Health,2,,,,no
24135,Kanyumbuni Dispensary,Level 2,Dispensary,Rabai,Mwawesa,Ministry of Health,1,,,,no
24131,Milalani Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,1,,,,no
24130,Bandari Dispensary,Level 2,Dispensary,Ganze,Bamba,Ministry of Health,0,,,,no
24127,Mikiriani Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,4,,,,no
24121,Katsifitseni Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,4,,,,no
24119,Kavunyalalo Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,4,,,,no
24118,Mrima Wa Ndege Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,0,,,,yes
24117,Shirango Dispensary,Level 2,Dispensary,Ganze,Bamba,Ministry of Health,0,,,,no
24115,Chumani Dispensary,Level 2,Dispensary,Kilifi North,Matsangoni,Ministry of Health,0,,,,no
24120,Bore Imani Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,4,,,,no
24108,Boyani Dispensary-TC,Level 2,Dispensary,Rabai,Rabai/Kisurutini,Ministry of Health,2,,,,no
24049,Magarini Dispendary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,,,,no
23958,Zowerani Dispensary,Level 2,Dispensary,Kilifi North,Tezo,Ministry of Health,0,,,,no
